"name","code","netweight","relatedPart","partnumber","compatibledescription-parca","compatibledescription-list","image"
"PUMP 711-50-51120 - KOMATSU","[""711-50-51120"",""7115051120""]","Weight: 6.6 kg.",,"7115051120","[""""]","[[""WA380"",""WA380Z"",""WA400""]]",
"CASE 711-50-51210 - KOMATSU","[""711-50-51210"",""7115051210""]",,,"7115051210","[""""]","[[""WA380"",""WA380Z"",""WA400"",""WA430""]]",
"TURBINE 711-50-51520 - KOMATSU","[""711-50-51520"",""7115051520""]","Weight: 4 kg.",,"7115051520","[""""]","[[""WA380"",""WA380Z"",""WA400"",""WA430""]]",
"SHAFT 711-50-52520 - KOMATSU","[""711-50-52520"",""7115052520""]",,,"7115052520","[""""]","[[""WA380"",""WA400"",""WA430""]]",
"TORQUE CONVERTER A. 711-50-61000 - KOMATSU","[""711-50-61000"",""7115061000""]","Weight: 74 kg.",,"7115061000","[""""]","[[""WA380"",""WA380Z""]]",
"GEAR, 103 TEETH 711-50-61142 - KOMATSU","[""711-50-61142"",""7115061142""]","Weight: 10.6 kg.",,"7115061142","[""""]","[[""WA380"",""WA380Z""]]",
"PILOT 711-50-61251 - KOMATSU","[""711-50-61251"",""7115061251""]",,,"7115061251","[""""]","[[""WA380"",""WA380Z"",""WA430""]]",
"SHAFT 711-50-62521 - KOMATSU","[""711-50-62521"",""7115062521""]",,,"7115062521","[""""]","[[""WA380"",""WA380Z""]]",
"TORQUE CONVERTER A. 711-52-00011 - KOMATSU","[""711-52-00011"",""7115200011""]",,,"7115200011","[""""]","[[""WA300"",""WA320""]]",
"TORQUE CONVERTER A. 711-52-00300 - KOMATSU","[""711-52-00300"",""7115200300""]","Weight: 53.5 kg.",,"7115200300","[""""]","[[""WA300"",""WA320""]]",
"TORQUE CONVERTER A. 711-52-00350 - KOMATSU","[""711-52-00350"",""7115200350""]","Weight: 36 kg.",,"7115200350","[""""]","[[""WA300"",""WA300L"",""WA320""]]",
"PUMP 711-52-11120 - KOMATSU","[""711-52-11120"",""7115211120""]","Weight: 4.2 kg.",,"7115211120","[""""]","[[""532"",""WA250"",""WA300"",""WA300L"",""WA320""]]",
"RETAINER 711-52-11140 - KOMATSU","[""711-52-11140"",""7115211140""]","Weight: 2.08 kg.",,"7115211140","[""""]","[[""512"",""518"",""532"",""WA100"",""WA100SS"",""WA100SSS"",""WA120"",""WA150"",""WA180"",""WA200"",""WA250"",""WA300"",""WA320"",""WR11"",""WR11SS""]]",
"CASE 711-52-11210 - KOMATSU","[""711-52-11210"",""7115211210""]","Weight: 14 kg.",,"7115211210","[""""]","[[""532"",""WA200"",""WA250"",""WA250L"",""WA250PT"",""WA300"",""WA300L"",""WA320""]]",
"GEAR 711-52-11340 - KOMATSU","[""711-52-11340"",""7115211340""]","Weight: 2.46 kg.",,"7115211340","[""""]","[[""512"",""518"",""532"",""WA100"",""WA100SS"",""WA100SSS"",""WA120"",""WA150"",""WA180"",""WA200"",""WA250"",""WA300"",""WA320"",""WR11"",""WR11SS""]]",
"TURBINE 711-52-11520 - KOMATSU","[""711-52-11520"",""7115211520""]","Weight: 3.9 kg.",,"7115211520","[""""]","[[""WA320""]]",
"STATOR 711-52-12110 - KOMATSU","[""711-52-12110"",""7115212110""]","Weight: 1.39 kg.",,"7115212110","[""""]","[[""532"",""WA200"",""WA250"",""WA250L"",""WA250PT"",""WA300"",""WA300L"",""WA320""]]",
"SLEEVE 711-52-12530 - KOMATSU","[""711-52-12530"",""7115212530""]","Weight: 1.5 kg.",,"7115212530","[""""]","[[""532"",""WA100"",""WA100SS"",""WA100SSS"",""WA120"",""WA150"",""WA180"",""WA200"",""WA250"",""WA300"",""WA320"",""WR11"",""WR11SS""]]",
"CASE 711-52-41210 - KOMATSU","[""711-52-41210"",""7115241210""]",,,"7115241210","[""""]","[[""WA300"",""WA320""]]",
"PLATE 711-53-11770 - KOMATSU","[""711-53-11770"",""7115311770""]","Weight: 0.08 kg.",,"7115311770","["""","""","""","""","""","""",""""]","[[""D155A"",""D155AX"",""D85EX"",""D85MS"",""D85PX""],[""WF550"",""WF550T""],[""D85MS""],[""HM250"",""HM300"",""HM300TN""],[""GD555"",""GD655"",""GD675""],[""WD500"",""WD600""],[""558"",""WA470"",""WA480"",""WA500"",""WA600""]]",
"PILOT 711-55-11250 - KOMATSU","[""711-55-11250"",""7115511250""]",,,"7115511250","[""""]","[[""512"",""518"",""WA100"",""WA100SS"",""WA100SSS"",""WA120"",""WA120L"",""WA150"",""WA180"",""WA180L"",""WA180PT"",""WA200"",""WA250"",""WA250L"",""WA250PT"",""WA300"",""WA300L"",""WA320"",""WR11"",""WR11SS""]]",
"SHAFT 711-55-12520 - KOMATSU","[""711-55-12520"",""7115512520""]","Weight: 7 kg.",,"7115512520","[""""]","[[""532"",""WA100"",""WA100SS"",""WA100SSS"",""WA120"",""WA150"",""WA180"",""WA200"",""WA250"",""WA300"",""WA320"",""WR11"",""WR11SS""]]",
"SHAFT 711-55-12522 - KOMATSU","[""711-55-12522"",""7115512522""]","Weight: 7 kg.",,"7115512522","[""""]","[[""512"",""518"",""WA100"",""WA100SS"",""WA100SSS"",""WA120"",""WA150"",""WA180"",""WA200"",""WR11""]]",
"GUIDE 711-57-11190 - KOMATSU","[""711-57-11190"",""7115711190""]","Weight: 1.5 kg.",,"7115711190","[""""]","[[""532"",""WA200"",""WA250"",""WA250L"",""WA250PT"",""WA300"",""WA300L"",""WA320""]]",
"GEAR 711-58-41141 - KOMATSU","[""711-58-41141"",""7115841141""]","Weight: 5.8 kg.",,"7115841141","[""""]","[[""WA100"",""WA120"",""WA120L"",""WA150"",""WA180"",""WA180L"",""WA180PT"",""WA200"",""WA250"",""WA250L"",""WA250PT"",""WA300"",""WA300L"",""WA320""]]",
"SHAFT 711-58-42521 - KOMATSU","[""711-58-42521"",""7115842521""]","Weight: 5.62 kg.",,"7115842521","[""""]","[[""WA100"",""WA120"",""WA120L"",""WA150"",""WA180"",""WA180L"",""WA180PT"",""WA200"",""WA250"",""WA250L"",""WA250PT"",""WA300"",""WA300L"",""WA320""]]",
"RACE 711-61-12120 - KOMATSU","[""711-61-12120"",""7116112120""]","Weight: 1.05 kg.",,"7116112120","["""",""""]","[[""LW250"",""LW250L""],[""GD555"",""GD655"",""GD675""]]",
"STATOR 711-61-42110 - KOMATSU","[""711-61-42110"",""7116142110""]","Weight: 1.75 kg.",,"7116142110","["""",""""]","[[""LW250""],[""GD555"",""GD655"",""GD675""]]",
"PUMP 711-90-11121 - KOMATSU","[""711-90-11121"",""7119011121""]",,,"7119011121","[""""]","[[""GD555"",""GD655"",""GD675""]]",
"TURBINE COMPLETE 711-90-11511 - KOMATSU","[""711-90-11511"",""7119011511""]",,,"7119011511","[""""]","[[""GD555"",""GD655"",""GD675""]]",
"GEAR 43-49 TEETH,3RD 714-07-13541 - KOMATSU","[""714-07-13541"",""7140713541""]","Weight: 36 kg.",,"7140713541","["""",""""]","[[""WF450"",""WF450T""],[""WA400"",""WA420"",""WA450"",""WA450L"",""WA470""]]",
"SHAFT,4TH 714-07-13711 - KOMATSU","[""714-07-13711"",""7140713711""]","Weight: 6.49 kg.",,"7140713711","["""",""""]","[[""WF450"",""WF450T""],[""WA400"",""WA420"",""WA450"",""WA450L"",""WA470""]]",
"GEAR¤ 27 TEETH 714-07-13720 - KOMATSU","[""714-07-13720"",""7140713720""]",,,"7140713720","["""",""""]","[[""WF450"",""WF450T""],[""WA400"",""WA420"",""WA450"",""WA450L"",""WA470""]]",
"GEAR¤ 38 TEETH 714-07-13730 - KOMATSU","[""714-07-13730"",""7140713730""]","Weight: 28 kg.",,"7140713730","["""",""""]","[[""WF450"",""WF450T""],[""WA450"",""WA450L"",""WA470""]]",
"PISTON 714-07-42621 - KOMATSU","[""714-07-42621"",""7140742621""]",,,"7140742621","[""""]","[[""WA470"",""WA480""]]",
"PISTON 714-07-42650 - KOMATSU","[""714-07-42650"",""7140742650""]",,,"7140742650","[""""]","[[""WA470"",""WA480""]]",
"SHAFT 714-11-13220 - KOMATSU","[""714-11-13220"",""7141113220""]","Weight: 10 kg.",,"7141113220","[""""]","[[""WA100"",""WA120"",""WA120L"",""WA150"",""WA180"",""WA180L"",""WA180PT"",""WA200"",""WA250"",""WA250L"",""WA250PT"",""WA300"",""WA300L"",""WA320"",""WA350"",""WA380""]]",
"GEAR, 90 TEETH 714-12-33421 - KOMATSU","[""714-12-33421"",""7141233421""]","Weight: 29.2 kg.",,"7141233421","[""""]","[[""WA380"",""WA380Z""]]",
"GEAR¤ 75 TEETH 714-13-13420 - KOMATSU","[""714-13-13420"",""7141313420""]",,,"7141313420","[""""]","[[""WA200"",""WA250"",""WA250L"",""WA250PT"",""WA300"",""WA300L"",""WA320""]]",
"GEAR¤ 37 TEETH 714-17-12460 - KOMATSU","[""714-17-12460"",""7141712460""]",,,"7141712460","[""""]","[[""WA400"",""WA420""]]",
"PISTON 385-10178441 - KOMATSU","[""385-10178441"",""38510178441""]",,,"38510178441","[""""]","[[""530"",""530B"",""540"",""540B""]]",
,"[""CA1230448"",""123-0448"",""1230448""]",,," 1230448","[""MARINE ENGINE Caterpillar""]","[[""3176C"",""3196"",""C-12"",""C12""]]",
,"[""117844A1""]",,,"117844A1","[""LIGHT EQUIPMENT New.Holland""]","[[""LV80"",""U80""]]",
,"[""11LH-30040"",""11LH30040""]",,,"11LH30040","[""""]","[[""1221E""]]",
"RADIATOR ASS'Y 14X-03-11212 - KOMATSU","[""14X-03-11212"",""14X0311212""]","Weight: 170 kg.",,"14X0311212","["""",""""]","[[""D60P"",""D65E"",""D65EX"",""D65P"",""D65PX"",""D85E"",""D85ESS""],[]]",
"RADIATOR ASS'Y 14X-03-11213 - KOMATSU","[""14X-03-11213"",""14X0311213""]","Weight: 170 kg.",,"14X0311213","[""""]","[[""D65E"",""D65EX"",""D65P"",""D65PX"",""D85E"",""D85ESS""]]",
"RADIATOR ASS'Y 14X-03-11214 - KOMATSU","[""14X-03-11214"",""14X0311214""]","Weight: 170 kg.",,"14X0311214","[""""]","[[""D65E"",""D65EX"",""D65P"",""D65PX"",""D85E"",""D85ESS""]]",
"RADIATOR ASS'Y 14X-03-11215 - KOMATSU","[""14X-03-11215"",""14X0311215""]","Weight: 170 kg.",,"14X0311215","[""""]","[[""D65P"",""D85ESS""]]",
"RADIATOR ASS'Y,(D60) 14X-03-11312 - KOMATSU","[""14X-03-11312"",""14X0311312""]","Weight: 113 kg.",,"14X0311312","[""""]","[[""D60P"",""D65E"",""D65EX"",""D65P"",""D65PX""]]",
"RADIATOR ASS'Y 14X-03-11314 - KOMATSU","[""14X-03-11314"",""14X0311314""]","Weight: 113 kg.",,"14X0311314","[""""]","[[""D60P""]]",
"RADIATOR ASS'Y 14X-03-35111 - KOMATSU","[""14X-03-35111"",""14X0335111""]","Weight: 54 kg.",,"14X0335111","[""""]","[[""D65EX"",""D65PX"",""D65WX""]]",
"Radiator Core Assembly 14X-03-51111 - KOMATSU","[""14X-03-51111"",""14X0351111""]","Weight: 0.000 kg.",,"14X0351111","[""""]","[[""D65EX"",""D65PX"",""D65WX""]]",
"RETAINER 14X-13-11141 - KOMATSU","[""14X-13-11141"",""14X1311141""]","Weight: 4.21 kg.",,"14X1311141","["""",""""]","[[""D61E"",""D61EX"",""D61PX"",""D63E"",""D65E"",""D65EX"",""D65P"",""D65PX"",""D65WX"",""D85E"",""D85ESS""],[""D68ESS"",""D85ESS""]]",
"SHAFT 15A-13-12520 - KOMATSU","[""15A-13-12520"",""15A1312520""]","Weight: 14 kg.",,"15A1312520","["""",""""]","[[""D135A"",""D155A""],[""D155C"",""D355C""]]",
"COVER 15A-13-12720 - KOMATSU","[""15A-13-12720"",""15A1312720""]","Weight: 3.8 kg.",,"15A1312720","["""",""""]","[[""D135A"",""D155A""],[""D155C"",""D355C""]]",
,"[""163F3-02251"",""163F302251""]",,,"163F302251","["" Hitachi""]","[[""ZW180""]]",
,"[""163F3-02451"",""163F302451""]",,,"163F302451","["" Hitachi""]","[[""ZW180""]]",
,"[""163G3-02151"",""163G302151""]",,,"163G302151","["" Hitachi""]","[[""ZW220"",""ZW220-HCMF""]]",
,"[""163G3-02241"",""163G302241""]",,,"163G302241","["" Hitachi""]","[[""ZW220"",""ZW220-HCMF""]]",
,"[""163H3-02121"",""163H302121""]",,,"163H302121","["" Hitachi""]","[[""ZW250"",""ZW250-HCMF""]]",
,"[""163H3-02141"",""163H302141""]",,,"163H302141","["" Hitachi""]","[[""ZW250"",""ZW250-HCMF""]]",
,"[""163H3-02181"",""163H302181""]",,,"163H302181","["" Hitachi""]","[[""ZW250"",""ZW250-HCMF""]]",
,"[""163J3-02141"",""163J302141""]",,,"163J302141","["" Hitachi""]","[[""ZW310"",""ZW310-A"",""ZW310-HCMF""]]",
"CORE 17A-03-41111 - KOMATSU","[""17A-03-41111"",""17A0341111""]","Weight: 45 kg.",,"17A0341111","[""""]","[[""D155AX""]]",
"CORE 17A-03-41112 - KOMATSU","[""17A-03-41112"",""17A0341112""]","Weight: 45 kg.",,"17A0341112","[""""]","[[""D155A"",""D155AX""]]",
"PUMP 17A-13-21121 - KOMATSU","[""17A-13-21121"",""17A1321121""]","Weight: 15 kg.",,"17A1321121","[""""]","[[""D155A"",""D155AX""]]",
"TURBINE 17A-13-21520 - KOMATSU","[""17A-13-21520"",""17A1321520""]","Weight: 14.9 kg.",,"17A1321520","[""""]","[[""D155A"",""D155AX""]]",
"STATOR 17A-13-22110 - KOMATSU","[""17A-13-22110"",""17A1322110""]","Weight: 4.5 kg.",,"17A1322110","[""""]","[[""D155A"",""D155AX""]]",
"STATOR SHAFT 17A-13-32521 - KOMATSU","[""17A-13-32521"",""17A1332521""]","Weight: 15.5 kg.",,"17A1332521","[""""]","[[""D155A"",""D155AX""]]",
"HUB 17A-27-11152 - KOMATSU","[""17A-27-11152"",""17A2711152""]","Weight: 186.8 kg.",,"17A2711152","[""""]","[[""D155A"",""D155AX""]]",
"SHAFT 17A-27-41141 - KOMATSU","[""17A-27-41141"",""17A2741141""]","Weight: 101 kg.",,"17A2741141","[""""]","[[""D155A"",""D155AX""]]",
"Cover 17A-27-41491 - KOMATSU","[""17A-27-41491"",""17A2741491""]",,,"17A2741491","[""""]","[[""D155A"",""D155AX""]]",
"Hub 17A-27-41671 - KOMATSU","[""17A-27-41671"",""17A2741671""]",,,"17A2741671","[""""]","[[""D155A"",""D155AX""]]",
"BOGIE ASS'Y 17A-30-00051 - KOMATSU","[""17A-30-00051"",""17A3000051""]","Weight: 190 kg.",,"17A3000051","[""""]","[[""D155A"",""D155AX""]]",
"PIN ASS'Y 17A-30-00061 - KOMATSU","[""17A-30-00061"",""17A3000061""]","Weight: 50.8 kg.",,"17A3000061","[""""]","[[""D155A"",""D155AX""]]",
"PAD 17A-30-16131 - KOMATSU","[""17A-30-16131"",""17A3016131""]","Weight: 1.22 kg.",,"17A3016131","[""""]","[[""D155A"",""D155AX""]]",
"PAD 17A-30-46131 - KOMATSU","[""17A-30-46131"",""17A3046131""]","Weight: 3.47 kg.",,"17A3046131","[""""]","[[""D155A"",""D155AX""]]",
"CUSHION 17A-54-46120 - KOMATSU","[""17A-54-46120"",""17A5446120""]","Weight: 9.8 kg.",,"17A5446120","[""""]","[[""D155A"",""D155AX"",""D51EX/PX"",""D61EX"",""D61EXI"",""D61PX"",""D61PXI""]]",
"CUSHION 17A-54-46130 - KOMATSU","[""17A-54-46130"",""17A5446130""]","Weight: 6.9 kg.",,"17A5446130","[""""]","[[""D155A"",""D155AX"",""D37EX"",""D37PX"",""D39EX"",""D39PX""]]",
"CORE 17M-03-41111 - KOMATSU","[""17M-03-41111"",""17M0341111""]","Weight: 245 kg.",,"17M0341111","[""""]","[[""D275A"",""D275AX""]]",
"OIL COOLER 17M-03-45111 - KOMATSU","[""17M-03-45111"",""17M0345111""]","Weight: 79 kg.",,"17M0345111","[""""]","[[""D275A"",""D275AX""]]",
"RADIATOR 17M-03-51110 - KOMATSU","[""17M-03-51110"",""17M0351110""]","Weight: 40 kg.",,"17M0351110","[""""]","[[""D275A"",""D275AX""]]",
"Radiator 17M-03-51531 - KOMATSU","[""17M-03-51531"",""17M0351531""]",,,"17M0351531","[""""]","[[""D275A""]]",
"RUBBER 17M-12-41130 - KOMATSU","[""17M-12-41130"",""17M1241130""]","Weight: 0.32 kg.",,"17M1241130","[""""]","[[""D275A"",""D275AX""]]",
"CAP 17M-30-52140 - KOMATSU","[""17M-30-52140"",""17M3052140""]","Weight: 3.55 kg.",,"17M3052140","[""""]","[[""D275A"",""D275AX""]]",
"PIN ASS'Y 17M-30-56201 - KOMATSU","[""17M-30-56201"",""17M3056201""]","Weight: 5.4 kg.",,"17M3056201","[""""]","[[""D275A"",""D275AX""]]",
"SEAL 17M-50-22240 - KOMATSU","[""17M-50-22240"",""17M5022240""]","Weight: 1.365 kg.",,"17M5022240","[""""]","[[""D275A"",""D275AX""]]",
"CUSHION 198-54-61821 - KOMATSU","[""198-54-61821"",""1985461821""]",,,"198-54-61821","[""""]","[[""D475A"",""D475ASD""]]",
,"[""CA1B1057"",""1B-1057"",""1B1057""]","Weight: 0.04 pounds 0 kg.",,"1B1057","[""""]","[[""955C"",""977D""]]",
,"[""CA1K6981"",""1K-6981"",""1K6981""]","Weight: 0.08 pounds 0 kg.",,"1K6981","["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]","[[""931""],[""426"",""428""],[""3S"",""4A"",""4S"",""6A"",""814S"",""824S""],[""65""],[""910""],[""IT12"",""IT18B""],[""816"",""826B""],[""12G"",""130G"",""140G"",""14E"",""14G"",""16"",""160G"",""16G""],[""561C"",""561D"",""571G"",""572G"",""583K"",""594"",""594H""],[""933"",""951""],[""815"",""815B"",""825C""],[""931B"",""931C"",""941"",""943"",""951B"",""953"",""953C"",""955C"",""955H"",""955K"",""955L"",""973"",""977D"",""977H"",""977K"",""977L""],[""D3B"",""D4E"",""D4E SR"",""D4H"",""D4H XL"",""D5H"",""D5M""],[""814"",""814B""],[""920"",""930"",""930R"",""950"",""966C"",""966D"",""980"",""980B""],[""613"",""613C"",""633""],[""518"",""528""],[""613B"",""613C"",""657""]]",
,"[""CA1L0650"",""1L-0650"",""1L0650""]","Weight: 3 pounds 1 kg.",,"1L0650","[""""]","[[""977D""]]",
,"[""CA1W5943"",""1W-5943"",""1W5943""]","Weight: 7 pounds 3 kg.",,"1W5943","[""""]","[[""777""]]",
,"[""CA1W6418"",""1W-6418"",""1W6418""]","Weight: 49 pounds 22 kg.",,"1W6418","[""TRACK-TYPE TRACTOR Caterpillar""]","[[""D6H""]]",
,"[""CA1W7406"",""1W-7406"",""1W7406""]","Weight: 32 pounds 14 kg.",,"1W7406","[""INDUSTRIAL ENGINE "",""WHEEL LOADER Caterpillar""]","[[""3412""],[""992C""]]",
"PLATE 20E-22-K1580 - KOMATSU","[""20E-22-K1580"",""20E22K1580""]",,,"20E22K1580","[""""]","[[""PW130"",""PW130ES"",""PW150ES"",""PW170ES""]]",
"GEAR 20E-23-K2440 - KOMATSU","[""20E-23-K2440"",""20E23K2440""]",,,"20E23K2440","[""""]","[[""PW130"",""PW130ES"",""PW150ES"",""PW170ES""]]",
"GEAR 20E-23-K2450 - KOMATSU","[""20E-23-K2450"",""20E23K2450""]",,,"20E23K2450","[""""]","[[""PW130"",""PW130ES"",""PW150ES"",""PW170ES""]]",
"SEAL,OIL 20G-22-12750 - KOMATSU","[""20G-22-12750"",""20G2212750""]","Weight: 0.234 kg.",,"20G2212750","[""""]","[[""PF3W"",""PW100"",""PW100S"",""PW150"",""PW200"",""PW210""]]",
"CUSHION 20Y-01-12210 - KOMATSU","[""20Y-01-12210"",""20Y0112210""]","Weight: 0.35 kg.",,"20Y0112210","["""","""","""","""","""",""""]","[[""CD60R""],[""HB205"",""HB215"",""PC200"",""PC200CA"",""PC200EL"",""PC200EN"",""PC200LL"",""PC200SC"",""PC200Z"",""PC210"",""PC220"",""PC220LL"",""PC228"",""PC228US"",""PC228UU"",""PC230"",""PC230NHD"",""PC240"",""PC250"",""PC250HD"",""PC270"",""PC270LL"",""PC290"",""PC308"",""PW180"",""PW200"",""PW220""],[""CL60""],[""BR120T"",""BR200"",""BR200J"",""BR200R"",""BR200S"",""BR210JG"",""BR250RG"",""BR300J"",""BR300S"",""BR310JG"",""BR350JG"",""BR380JG"",""BZ200"",""BZ210""],[""BP500""],[""JV100A"",""JV100WA"",""JV100WP"",""JV130WH""]]",
"CUSHION 20Y-01-12221 - KOMATSU","[""20Y-01-12221"",""20Y0112221""]","Weight: 1.4 kg.",,"20Y0112221","["""","""","""","""",""""]","[[""CD60R""],[""PC200"",""PC200CA"",""PC200EL"",""PC200EN"",""PC200SC"",""PC200Z"",""PC210"",""PC220"",""PC228"",""PC228US"",""PC228UU"",""PC230"",""PC240"",""PC250"",""PC250HD"",""PC270"",""PC290""],[""CL60""],[""BR200"",""BR200J"",""BR200R"",""BR200S"",""BR210JG"",""BR250RG"",""BR300J"",""BR310JG"",""BR350JG"",""BZ200""],[""JT150"",""JV100A"",""JV100WA"",""JV100WP"",""JV130WH""]]",
"CUSHION 20Y-01-12222 - KOMATSU","[""20Y-01-12222"",""20Y0112222""]","Weight: 0.46 kg.",,"20Y0112222","["""","""","""",""""]","[[""HB205"",""HB215"",""PC200"",""PC200LL"",""PC200SC"",""PC210"",""PC220"",""PC220LL"",""PC228"",""PC228US"",""PC230"",""PC230NHD"",""PC240"",""PC250"",""PC270"",""PC270LL"",""PC290"",""PC308"",""PW180"",""PW200"",""PW220""],[""BR300S"",""BR380JG"",""BZ210""],[""BP500""],[""WA250"",""WA250PZ"",""WA270"",""WA320"",""WA320PZ""]]",
"CAP ASS'Y 20Y-01-12300 - KOMATSU","[""20Y-01-12300"",""20Y0112300""]","Weight: 2.82 kg.",,"20Y0112300","["""","""","""",""""]","[[""D155A"",""D155AX"",""D275A"",""D275AX"",""D65EX"",""D85EX"",""D85MS"",""D85PX""],[""D85MS""],[""PC1800"",""PC200"",""PC200SC"",""PC210"",""PC220""],[""D155C"",""D355C""]]",
"CORE ASS'Y 20Y-03-14120 - KOMATSU","[""20Y-03-14120"",""20Y0314120""]","Weight: 54 kg.",,"20Y0314120","["""",""""]","[[""PC200"",""PC210"",""PC220"",""PC240""],[""BR200"",""BR200J"",""BR200R"",""BR200S"",""BR300J"",""BR310JG""]]",
"RADIATOR ASS'Y 20Y-03-41651 - KOMATSU","[""20Y-03-41651"",""20Y0341651""]","Weight: 38 kg.",,"20Y0341651","[""""]","[[""PC200"",""PC210"",""PC230NHD""]]",
"RADIATOR ASS'Y 20Y-03-42451 - KOMATSU","[""20Y-03-42451"",""20Y0342451""]","Weight: 30 kg.",,"20Y0342451","[""""]","[[""PC200""]]",
"RADIATOR ASS'Y 20Y-03-42452 - KOMATSU","[""20Y-03-42452"",""20Y0342452""]","Weight: 0.000 kg.",,"20Y0342452","[""""]","[[""PC200""]]",
"COREASS'Y 20Y-03-D1160 - KOMATSU","[""20Y-03-D1160"",""20Y03D1160""]",,,"20Y03D1160","[""""]","[[""PC200""]]",
"Cushion 20Y-53-13113 - KOMATSU","[""20Y-53-13113"",""20Y5313113""]","Weight: 5 kg.",,"20Y5313113","[""""]","[[""HB205"",""HB215"",""PC130"",""PC160"",""PC190"",""PC200"",""PC210"",""PC220"",""PC230NHD"",""PC240"",""PC600"",""PC650"",""PC700"",""PC800"",""PC800SE"",""PC850"",""PC850SE"",""PW148"",""PW160"",""PW180""]]",
"Cushion 20Y-53-13121 - KOMATSU","[""20Y-53-13121"",""20Y5313121""]","Weight: 5.2 kg.",,"20Y5313121","[""""]","[[""HB205"",""HB215"",""PC130"",""PC160"",""PC190"",""PC200"",""PC210"",""PC220"",""PC230NHD"",""PC240"",""PC270"",""PC290"",""PW148"",""PW160"",""PW180""]]",
"CUSHION 20Y-54-65810 - KOMATSU","[""20Y-54-65810"",""20Y5465810""]","Weight: 4.92 kg.",,"20Y5465810","["""","""",""""]","[[""PC1250"",""PC1250SE"",""PC1250SP"",""PC130"",""PC160"",""PC180"",""PC200"",""PC200LL"",""PC200SC"",""PC210"",""PC220"",""PC220LL"",""PC230"",""PC230NHD"",""PC240"",""PC270"",""PC270LL"",""PC290"",""PC300"",""PC300HD"",""PC300LL"",""PC340"",""PC350"",""PC380"",""PC400"",""PC450"",""PC600"",""PC650"",""PC750"",""PC750SE"",""PC800"",""PC800SE"",""PW130"",""PW140"",""PW160"",""PW180"",""PW200"",""PW220""],[""BP500""],[""JT150""]]",
"CUSHION 20Y-54-65811 - KOMATSU","[""20Y-54-65811"",""20Y5465811""]","Weight: 4.95 kg.",,"20Y5465811","[""""]","[[""PC130"",""PC160"",""PC180"",""PC200"",""PC220"",""PC270"",""PC300"",""PC300HD"",""PC340"",""PC350"",""PC360"",""PC400"",""PC450"",""PC600"",""PC800"",""PC800SE"",""PC850"",""PC850SE"",""PW160"",""PW180""]]",
"CUSHION 20Y-54-65821 - KOMATSU","[""20Y-54-65821"",""20Y5465821""]","Weight: 4.95 kg.",,"20Y5465821","[""""]","[[""PC130"",""PC160"",""PC180"",""PC200"",""PC220"",""PC270"",""PC300"",""PC300HD"",""PC340"",""PC350"",""PC360"",""PC400"",""PC450"",""PC600"",""PC800"",""PC800SE"",""PC850"",""PC850SE"",""PW160"",""PW180""]]",
"SPACER, 2.5MM 20Y-70-31521 - KOMATSU","[""20Y-70-31521"",""20Y7031521""]","Weight: 0.05 kg.",,"20Y7031521","[""""]","[[""PC200"",""PC200LL"",""PC210"",""PC210MH"",""PC220"",""PC220LL"",""PC228"",""PC228US"",""PC240"",""PC270"",""PC290"",""PC308""]]",
"GEAR 21K-26-21111 - KOMATSU","[""21K-26-21111"",""21K2621111""]",,,"21K2621111","[""""]","[[""PC150"",""PW150""]]",
"CORE ASS'Y 21M-03-21110 - KOMATSU","[""21M-03-21110"",""21M0321110""]","Weight: 53 kg.",,"21M0321110","[""""]","[[""PC600"",""PC650"",""PC700""]]",
"CORE ASS'Y 21M-03-21120 - KOMATSU","[""21M-03-21120"",""21M0321120""]","Weight: 53 kg.",,"21M0321120","[""""]","[[""PC600"",""PC650"",""PC700""]]",
"RADIATOR ASS'Y 21N-03-37700 - KOMATSU","[""21N-03-37700"",""21N0337700""]","Weight: 380.04 kg.",,"21N0337700","[""""]","[[""PC1250"",""PC1250SE"",""PC1250SP""]]",
"Radiator Core Assembly 21N-03-41110 - KOMATSU","[""21N-03-41110"",""21N0341110""]","Weight: 45 kg.",,"21N0341110","[""""]","[[""PC1250"",""PC1250SP""]]",
"SEAL 22X-23-23790 - KOMATSU","[""22X-23-23790"",""22X2323790""]",,,"22X2323790","[""""]","[[""PW100"",""PW100N"",""PW100NS"",""PW100S"",""PW150"",""PW200"",""PW210""]]",
,"[""234876A1""]",,,"234876A1","["""",""""]","[[""4391"",""4391T"",""4391TA""],[""570LXT"",""580L"",""580SL"",""584E"",""585E"",""586E"",""590L"",""590SL""]]",
,"[""234876A2""]",,,"234876A2","[""LIGHT EQUIPMENT New.Holland""]","[[""LV80"",""U80""]]",
,"[""239739A1""]",,,"239739A1","["""",""""]","[[""4391"",""4391T"",""4391TA""],[""570LXT"",""580L"",""580SL"",""590L"",""590SL""]]",
,"[""239739A2""]",,,"239739A2","[""LIGHT EQUIPMENT New.Holland""]","[[""LV80"",""U80""]]",
"CABLE 23A-43-12160 - KOMATSU","[""23A-43-12160"",""23A4312160""]","Weight: 0.37 kg.",,"23A4312160","[""""]","[[""GD505A"",""GD521A"",""GD525A"",""GD611A"",""GD621A"",""GD621R"",""GD661A""]]",
